ID;Nazwa;Ilosc Real;Ilosc Fakt;Roznica Fakt Norm
2018;Zestaw fast food - Hamburger /12szt display/ 407968;9;10;1
5394;Zestaw domek168216;8;10;2
4122;Zestaw do wędkowania 312287;5;22;17
3593;Zestaw do tworzenia bransoletek 404356;29;31;2
3684;Zestaw do tworzenia baniek mydlanych 147649;11;22;11
3293;Zestaw do tenisa stołowego 428769;3;10;7
714;ZESTAW DO TENISA-2RAKIETY 53CM. /SPY112810      098053;4;4;0
45450;Zestaw do tenisa;0;0;0
575;Zestaw do sprzątania 879831;12;12;0
146;Zestaw do robienia biżuterii 310627;0;2;2
1914;Zestaw do robienia baniek 964838;0;9;9
4038;Zestaw do Ping-Ponga 2 paleczki 3 piłeczki 315240;20;20;0
4215;ZESTAW DO PIASKU DUżY                           300132;0;1;1
1767;Zestaw do paznokci 400735;10;11;1
1869;Zestaw do herbaty 822403;15;18;3
1868;Zestaw do herbaty 818413;30;36;6
71239;"Zestaw do gry ""Waga"" (w siatce) 053770 ";1;1;0
4168;Zestaw do gry 994473;1;9;8
5191;Zestaw do golfa 301700;19;21;2
4279;ZESTAW DO BANIEK;0;11;11
412;Zestaw do badmintona 994480;5;18;13
1323;Zestaw dinozaurów 601732;1;11;10
4364;Zestaw Budowniczego - Kamizelka, 4 klucze 112094;14;16;2
1805;ZESTAW BOKSERSKI MNJ.  /261799/                 617995;0;1;1
4270;ZESTAW BOKSERSKI;0;5;5
3595;Zestaw autka metalowe 014874;0;6;6
3224;Zestaw aut 995579;31;34;3
4129;Zestaw 6 zwierząt domowych 309676 ;1;18;17
4157;Zestaw 4 aut budowlanych 308891;0;9;9
71370;"Zestaw ""Samochód osobowy z przyczepą"" (kontener) 056658";1;2;1
2686;ZEST.WIĘKSZY Z SUSZARKĄ B/O.  /MPG51070/  10706,392816;0;0;0
1299;ZEST.STRAŻAKA 923616;0;0;0
2952;ZEST.RYCERSKI,TARCZA,MIECZE,NAPIERŚNIK/GAZ      958901;0;0;0
1709;ZEST.POLICYJNY+KAMIZELKA,KASK/66118/SIATKA      661187;0;0;0
1214;ZEST.DO ROBIENIA BANIEK Z RĘKAWICĄ/G063098      956785;0;0;0
443;ZEGAREK DZIECIĘCY PLAST.DUŻY X10                009807;280;311;31
648;ZEGAREK BRANSOLETKA  X10  MAŁY;250;906;656
71257;Zawieszka Sowa z dodatkami 25cm 049384;1;1;0
922;Zamek z kucykiem pudełko 404283;0;2;2
3491;ZAMEK DLA LALEK MNJ. /G045136/                  948599;7;7;0
1071;Zamczyszko Wyspa piratów /324047/;0;0;0
5251;Zając Kołtunek 31cm w sukience /047151/;0;1;1
72754;Zabwka ruchoma kiwak osioł;0;3;3
5176;Zabawka samolot 001005;0;0;0
75579;Zabawka ruchoma kot, lemor ;0;15;15
4201;ZABAWKA RÓZGA;0;40;40
2030;Zabawka piłka 992943;0;0;0
4260;ZABAWKA PIERśCIONEK;0;36;36
75581;Zabawka na baterie pszczółka ;0;0;0
75580;Zabawka na baterie kaczka 0176791;41;71;30
5450;Zabawka na bat Żaba YJ-3008 0048817;52;40;-12
4505;ZABAWKA MUZYCZNA    /254565/;0;0;0
4097;Zabawka latająca świecąca 135301;0;0;0
1998;Zabawka kreatywna 138685;6;9;3
4200;ZABAWKA FIGURKA;0;21;21
212;Zabawka do ściskania /display 12szt/ 407340;24;48;24
1088;Zabawka do kąpieli /Q1971/119455/;0;0;0
3666;Zabawka dla malucha /8szt display/ 988663;0;0;0
3018;Zabawka dla malucha /12szt w display/ 403830;2;11;9
5137;Zabawka dla malucha;0;1;1
849;Yoyo z buźką duże 301366;0;0;0
15648;Wywrotka MAXI;4;3;-1
15653;Wywrotka duża II;5;3;-2
15672;Wywrotka duża;4;2;-2
14180;Wywrotka;1;0;-1
4333;WYRZUTNIA POCISKÓW                              115105;71;71;0
1030;WYRZUTNIA DYSK  /B6684/                         241264;27;8;-19
519;Wygibajtus 001518;1;1;0
4493;WRÓŻKA   /979663/;0;0;0
655;WÓZEK WIDŁOWY 18CM. /746266/  KLOSZ       15496,462668;0;0;0
3061;WÓZEK SKLEPOWY NA KARCIE /MPB44299/             442991;7;7;0
13044;Wózek marketowy ;7;9;2
11795;Wózek Kaja lux;2;2;0
11144;Wózek Kaja;0;0;0
11848;Wózek Iga lux;2;2;0
3135;WÓZEK DLA LALEK /06486X/8064865/;0;2;2
75578;Wózek dla lalek 649756;0;2;2
14351;Wózek Ania;2;4;2
11602;Wózek Alicja;0;0;0
10467;"Wózek ""Zuzia""";4;4;0
13279;"Wózek ""Madzia""";2;3;1
13888;"Wózek ""Daria""";5;4;-1
11146;"Wózek ""Daria Lux""";0;3;3
4311;WÓZEK;0;1;1
482;Wojsko z planszą średnie 3WZ. 28485,407471,305418;0;0;0
3702;Wojsko z planszą 305425;25;25;0
3288;Wojsko w worku + plansza 928485, 305418;12;30;18
3442;WOJOWNIK 794833;0;0;0
3568;Wojownik /display 6szt/ 399564;5;6;1
2163;Włoski zbiór 394517;0;1;1
2272;Wizażystka 942989;18;18;0
4580;Wizażystka 486323;20;24;4
15221;Winchester;0;50;50
1074;Wilk i Zając-Pogoń /324108/;0;0;0
3017;Wiertarka na baterie w zestawie 557602;39;46;7
2835;WIERTARKA NA BATERIE /61424/              57189,961424;0;0;0
74418;Wiertarka na baterie 571818, 961424;39;108;69
5130;Wiertarka na baterie 091744, 302851;0;10;10
4302;WIDLAK;0;0;0
4421;WIATRAK BROKATOWY                              807790;0;0;0
5125;Wiatrak 25cm;104;68;-36
5120;Wiatrak 23cm wielokolorowy;0;53;53
3275;Wiatrak 23cm holograficzny;76;51;-25
808;Wiatrak 23cm brokatowy;90;55;-35
1533;Wiatrak 23cm /10szt w opakowaniu/;0;60;60
5121;Wiatrak 20cm wielokolorowy;212;98;-114
11540;Wiatrak;0;5;5
721;Wiatraczek podwójny (8 szt.)136957;0;1;1
5278;Wiatraczek /12 szt displ/125043;1;8;7
12670;Wiaderko Muszelka Solo;40;20;-20
5532;Węże miękkie /12szt w displayu/ 203211;54;58;4
2012;WĘDKA+RYBKI - NEMO /ZR5823/                     013117;0;0;0
3057;Wędka z rybkami 977667;30;45;15
855;Wędka + 6 Rybek 3000766;0;0;0
1545;Wesoły dzbanek z melodią i klockami /ED2056C/000584/;0;0;0
3271;Wąż Gruby 80cm /display 12szt/ 205215;34;36;2
2524;Wąż gruby 65cm /display 12sztuk/ 205222;24;48;24
4125;Warzywa/owoce do krojenie 143375;0;3;3
4140;Warzywa/owoce do krojenia 143382;3;5;2
4160;Warzywa/ owoce do krojenia 143368;9;15;6
3974;Warsztat z narzędziami 139248;0;2;2
3109;Warsztat z masą plastyczną /130627/;0;0;0
1962;Warcaby & Młynek   802514;3;5;2
724;WAŃKA WSTAŃKA MIŚ ŚW/DZW      961585;0;0;0
1356;WAŃKA WSTAŃKA 4WZ./ZR981-991/                   215832;0;0;0
4321;WANNA 124121;0;7;7
1365;WALKIE TALKIE ze światłem 003806;4;7;3
1896;"WALKIE TALKIE ""POLICE"" /MPG56713/               567137";0;0;0
5115;Walkie talkie   304688;0;4;4
2017;WALKIE TALKIE-AUTA /HL361785/                   034445;0;0;0
4283;Walec 960274, 0065114;9;6;-3
100;WAGA SZALKOWA /CZ/                              000056;0;0;0
2108;Waga 310061;3;5;2
4164;Waga 137459;18;21;3
103;WACHLARZYK 21CM.  X12  304251;0;0;0
1069;WACHLARZ 21 cm x 10  304237;0;0;0
1440;Wachlarz /12 szt. w op./ 807981;95;215;120
522;WACHLARZ / 12 szt. w op./ ;727;1016;289
969;WACHLARZ - KWIATY C. X12  /TG365102/            878612;0;0;0
11811;W-60 Hulajnoga103663;5;6;1
15092;W-51 Taczka stokrotka z łopatką i grabkami 103632;8;10;2
70403;W-50 WÓZEK Z RĄCZKĄ ;2;2;0
15094;W-22 Super gra;8;5;-3
15095;W-20 Puzzle edukacyjne;9;4;-5
15088;W-16 Piramida duze kulki 101102;12;9;-3
15093;W-15 Piramida puzzle;0;3;3
15091;W-15 Piramida puzzle 100501;13;15;2
15089;W-14 Piramidka kółka 102406;15;9;-6
15090;W-13 Piramida małe kulki 101003;2;23;21
981;Ułóż wyrazy Girls (Fan) /9804051/;2;2;0
569;Ułóż Wyrazy Ekologia   804082;3;3;0
326;Układanka wąż 963862;216;220;4
2887;Układanka rzepy 400 el. 991052;0;0;0
4982;Układanka Rzepy + Pistolet (265 el.) 414010;14;15;1
25178;Układanka pianka;8;0;-8
991;Układanka patyki 100el. 414348;40;40;0
1586;Układanka Patyki 100el. 414324;40;40;0
954;UKŁADANKA MOZAIKA W PUDEŁKU /MPA33275/          332759;0;0;0
4462;UKłADANKA METALOWA                              463286;43;58;15
5017;Układanka klocki;0;11;11
5016;Układanka klocki;0;5;5
2674;Układanka gumki 810639;0;4;4
1031;UKŁADANKA EDUKAC.WĄŻ W FOLII /DAJ/ 293661,009238;0;23;23
5521;Układanka drewniana 994107;17;17;0
5520;Układanka drewniana 994091;14;15;1
340;Układanka 961826;0;19;19
5363;Układanka - pierwsze cyferki /803115/;0;1;1
5362;Układanka - kim zostanę /803146/;0;0;0
5361;Układanka - co lubią zwierzęta /803122/;0;2;2
573;UKŁADANKA-KOLOROWY SAD  (FAN)                   803108;0;0;0
30319;UBRANKO DLA LALEK /KAR/                         150016;0;21;21
5274;Ubranko dla lalek  /126873/;0;7;7
4349;UBRANKO DLA BOBASA;3;4;1
203;Ubranka dla Janka - Piotruś 300488;5;7;2
5541;Tukan powtarzający 137206;0;1;1
2043;TRUCK Z PRZYCZEPĄ MNJ.+ZWIERZĘTA /91901/NC      991901;0;0;0
1091;TRUCK Z PRZYCZEPĄ I ZWIERZĘTAMI /93127/NC       993127;0;0;0
1609;TRUCK LAWETA + 4 AUTKA BUDOWL. /926072/         260729;0;0;0
4437;TRąBKA Z FLAGą /008019/;0;0;0
2303;TRĄBKA ROWEROWA (METALIZOWANA) /PG1605/   16131,871095;0;0;0
1302;TRĄBKA ROWER.(PRZEZROCZ)962803, 800708;433;465;32
20216;Trąbka duża /10szt w opakowaniu/;0;86;86
4399;TRANSROBOT 209930;1;55;54
4013;Transrobot - motor ze światłem 003950;0;0;0
1660;TRANSFORMER AUTO WYŚCIGOWE 545906;15;22;7
3540;TRANSFORMER AUTO /MPB65229/G047336/   BC  45932,652291;0;0;0
2960;TRANSFORMER AUTO 45920,094536;0;48;48
135;Tramwaj 960544;9;13;4
2591;TRAKTORKI METALOWE Z MASZYNAMI, DISPLAY, 12 szt. /001444/;0;0;0
2741;TRAKTOREK Z URZĄDZENIEM-PRZÓD /210951/          109513;0;0;0
3751;TRAKTOREK PRZYCZEPA,ZWIERZ. MNJ./451038/        510386;102;129;27
2698;TRAKTOR+PRZYCZEPA 53CM+ZWIERZ./FA0488-98/612456;51;68;17
3705;TRAKTOR+2MASZYNY BUDOWL.NA LAWECIE/433276/      332766;0;0;0
1237;TRAKTOR610926;0;4;4
2537;Traktor ze zwierzętami fashion klosz 404474;24;24;0
4299;Traktor z wozem paszowym 964333, 800760;15;23;8
720;TRAKTOR Z WIDLAKIEM NA LAWECIE /433285/         332858;0;0;0
5074;Traktor z siewnikiem nawozu /604614/;0;20;20
5538;Traktor z siewnikiem 203518;9;21;12
3349;TRAKTOR z przyczepą+ zwierzęta 574108;34;37;3
4479;TRAKTOR z przyczepą + zwierzęta /4839661/;0;0;0
4006;Traktor z przyczepą + zwierzęta /139883/;0;0;0
3156;TRAKTOR z przyczepą + zwierzęta 155820;71;73;2
2452;Traktor z przyczepą + figurki 750481;48;52;4
5231;Traktor z przyczepą /MA9022C/;0;9;9
3031;TRAKTOR z przyczepą /993684/93684/;0;0;0
72330;Traktor z przyczepą /872245/;0;5;5
5061;Traktor z przyczepą /771587/;0;0;0
5302;Traktor z przyczepą 9001006, 969031, 876618;0;9;9
4318;TRAKTOR Z PRZYCZEPą                             119110;0;0;0
2315;TRAKTOR z prasą kostkującą 642732, 00777;2;9;7
3396;Traktor z pługiem na przyczepie 611824, 245422, ;23;27;4
450;TRAKTOR Z PŁUGIEM MNJ./5560317/  NEW.           603174;0;0;0
75232;Traktor z pługiem /MA9044B/;0;0;0
4513;TRAKTOR z pługiem /842112/             ;0;17;17
4431;TRAKTOR z pługiem /000075/;0;0;0
5066;Traktor z pługiem 692299, 994087, 797754, 800500;19;38;19
120;Traktor z pługiem 104973;29;29;0
5053;Traktor z pługiem;0;0;0
4298;Traktor z opryskiwaczem 900412, 968355, 693371;0;7;7
5375;Traktor z narzędziem  /992984/ ;0;4;4
5182;Traktor z napędem  034865;0;8;8
4344;TRAKTOR Z MODUłEM  115723;26;34;8
4315;TRAKTOR Z MODUłEM                              115846;0;5;5
4316;TRAKTOR Z MODUłEM                              115815;24;45;21
4314;TRAKTOR Z MODUłEM                              115808;0;10;10
4317;TRAKTOR Z MODUłEM                              115792;0;0;0
4345;TRAKTOR Z MODUłEM                               115877;15;20;5
4346;TRAKTOR Z MODUłEM                               115839;31;39;8
3438;TRAKTOR z maszyną rolniczą /TG10131/872597/;0;0;0
5301;Traktor z maszyną rolniczą /G030170/ 900382/;0;4;4
5304;Traktor z maszyną rolniczą 977247;7;16;9
5303;Traktor z maszyną rolniczą 944928/012398/964456/872252;0;37;37
3430;TRAKTOR z maszyną rolniczą 872108, 1088D-4;0;0;0
1936;Traktor z maszyną rolniczą 24400, 530431, 903628, 870548;0;3;3
1506;Traktor z maszyną fashion klosz 404481;25;27;2
5639;Traktor z maszyną fashion klosz 404443;19;25;6
3392;TRAKTOR Z MASZYNĄ-PRZÓD 248287,724375;0;12;12
4297;Traktor z łyżką /968065/G045126/;7;7;0
4489;TRAKTOR z łyżką /724375/                            ;0;0;0
15656;Traktor z łyżką;1;1;0
5070;Traktor z kosiarką polową 012756, 964524, 693555;0;18;18
3350;Traktor z kosiarką polową  834446, 249710, 694095;24;26;2
5640;Traktor z koparką i łyżką klosz 400070;21;28;7
3024;TRAKTOR Z KOMBAJNEM ZIEM./1018-21/62964/  62964,952978;0;0;0
2146;TRAKTOR Z CYSTERNA NO.1018-15 /433249/          332490;0;0;0
330;TRAKTOR Z BETONIARKĄ /90096/NC                  990096;0;0;0
5080;Traktor z belownicą 412076;31;42;11
4486;Traktor z belownicą  /9259956/;0;18;18
2027;Traktor z beczką   /MPC35632/ G045231   63252,943525;0;0;0
75392;Traktor Wielki z pługiem792808, 966641;22;38;16
1743;Traktor wielki z łyżką 960465;0;0;0
75403;Traktor wielki z belownicą922730, 800517, 962629;10;31;21
75252;Traktor Wielki rozrzutnik 962650;9;14;5
4376;TRAKTOR WIELKI ROZRZUTNIK                        62650;0;9;9
4386;TRAKTOR WIELKI PRZYCZEPA                         68188;0;10;10
73122;Traktor wielki prasa922914, 800524, 962643;24;37;13
75509;Traktor Wielki 962636;36;43;7
74373;Traktor Wielki 814507;5;8;3
73120;Traktor wielki 150712, 965415;13;31;18
73121;Traktor wielki 060773, 814262, 965477;0;11;11
2849;TRAKTOR WESOŁY Z WALCEM B/O.  /G042389/         941910;0;0;0
10951;Traktor Turbo;0;0;0
4378;Traktor średni wężownica083767, 872115;8;16;8
4429;TRAKTOR siewnik nawozu 006244;0;9;9
2274;TRAKTOR siewnik nawozu 796840, 877028;0;16;16
4284;TRAKTOR siewnik nawozu;0;10;10
2711;TRAKTOR PRZYCZ.3ZWIERZ.DOMOWE 750849, 244760, 872702;99;117;18
3866;Traktor przewrotka na baterie 997061, 821741;0;10;10
4131;Traktor na blistrze 870883;12;22;10
126;TRAKTOR MNJ.Z OPRYSKIWACZEM  2055 /66406/966405;0;0;0
15044;Traktor max;0;1;1
4375;TRAKTOR M Z OPRYSKIWACZEM I łYżKą  /60755/;0;16;16
15045;Traktor Farmer;0;1;1
5454;Traktor budowlany 800852;0;2;2
3774;TRAKTOR 837867;1;0;-1
3546;TRAKTOR 641742;0;4;4
2307;Traktor 6 wz. 5605722, 969789, 057228;17;58;41
3295;TRAKTOR 599119;0;0;0
3195;TRAKTOR 598754;0;0;0
3266;TRAKTOR 485411;2;2;0
5079;Traktor 412250;0;0;0
5068;Traktor 098596;0;20;20
5060;Traktor 060398;6;13;7
5059;Traktor 060305;0;3;3
5077;Traktor 049716;0;0;0
5064;Traktor 044632;0;0;0
5216;Traktor /965530/;0;2;2
5209;Traktor /797472/;0;6;6
5215;Traktor /489198/;0;0;0
5208;Traktor /455835/885728/;0;9;9
5213;Traktor /085499/;0;1;1
5214;Traktor /085313/;0;16;16
5212;Traktor /0085673/;0;10;10
5207;Traktor /0057069/;0;6;6
3422;TRAKTOR 876601, 642640;1;13;12
5067;Traktor 843553;0;8;8
3498;TRAKTOR 837416, 872580;0;0;0
