Lp;Kod;Nazwa;Ilość;Wartość magazynowa;Wartość magazynowa 1;Ostatnia zakupu [netto];Ostatnia zakupu [netto] 1;Detal [netto] [PLN];Detal [netto] [PLN] 1;Detal [brutto] [PLN];Detal [brutto] [PLN] 1;% narzutu;Mag.;Chodliwość:Towar
2510;20023;Grzechotka;0;0;PLN;1.54; PLN;1.95;PLN;2.4;PLN;26,62%;5;A
2511;00943;Gryzak 929093;0;0;PLN;2.96; PLN;4.2;PLN;5.17;PLN;41,89%;0;A
2512;00141;Gry 5 w 1 309119;0;0;PLN;9.2; PLN;13;PLN;15.99;PLN;41,30%;0;D
2513;10020;Granat;0;0;PLN;1.85; PLN;2.5;PLN;3.08;PLN;35,14%;1;A
2514;02463;Granat z proszkiem kolorowym 817737;49;166.11;PLN;3.39; PLN;4.84;PLN;5.95;PLN;42,77%;7C;A
2515;70294;Grabki duże plast 163414;21;62.16;PLN;2.96; PLN;3.85;PLN;4.74;PLN;30,07%;4;D
2516;01654;Gra zręcznościowa krzesła 36 el. 997191;0;0;PLN;3.54; PLN;5.11;PLN;6.29;PLN;44,35%;0;A
2517;02836;Gra zręcznościowa /397768,398093/;0;0;PLN;10.43; PLN;15.27;PLN;18.78;PLN;46,40%;0;A
2518;05556;Gra zręcznościowa 819205;15;164.55;PLN;10.97; PLN;15.44;PLN;18.99;PLN;40,75%;1E;A
2519;02258;Gra zręcznościowa - krzesła 18 el. 997177;0;0;PLN;2.36; PLN;3.46;PLN;4.25;PLN;46,61%;0;A
2520;00566;GRA ZOSTAŃ STRAŻAKIEM     (FAN)                 802880;7;65.45;PLN;9.35; PLN;13.37;PLN;16.45;PLN;42,99%;0;A
2521;00564;GRA ZOSTAŃ POLICJANTEM     (FAN)                802897;6;56.1;PLN;9.35; PLN;13.37;PLN;16.45;PLN;42,99%;0;A
2522;00563;GRA ZOSTAŃ LEKARZEM     (FAN)                   802903;4;37.4;PLN;9.35; PLN;13.37;PLN;16.45;PLN;42,99%;0;A
2523;00560;GRA ZOSTAŃ GWIAZDA  3GRY      (FAN)             803016;7;52.29;PLN;7.47; PLN;10.09;PLN;12.41;PLN;35,07%;0;A
2524;00549;GRA ZNAKI DROGOWE/LEŚNY TELEFON   (FAN)         802637;3;18.81;PLN;6.27; PLN;8.47;PLN;10.42;PLN;35,09%;0;A
2525;05113;Gra wodna rybki  /8 na blistrze/ 301328 ;0;0;PLN;1.76; PLN;2.38;PLN;2.93;PLN;35,23%;0;A
2526;05111;Gra wodna kierownica 301502;226;228.34;PLN;1.45; PLN;2.15;PLN;2.65;PLN;48,28%;8A;A
2527;05112;Gra wodna   301496;0;0;PLN;1.13; PLN;1.53;PLN;1.88;PLN;35,40%;0;A
2528;05109;Gra wodna   301311;51;69.36;PLN;1.36; PLN;1.84;PLN;2.26;PLN;35,29%;8A;A
2529;01220;Gra węże i drabiny 1441326;0;0;PLN;8.13; PLN;11.22;PLN;13.8;PLN;38,01%;0;A
2530;00352;Gra węże 141340;2;10.6;PLN;5.3; PLN;7.53;PLN;9.26;PLN;42,08%;0;D
2531;00598;GRA WARCABY & CHIŃCZYK  (FAN) 802194;20;131.4;PLN;6.57; PLN;8.87;PLN;10.91;PLN;35,01%;0;A
2532;01665;Gra w Kości /800044/;14;32.2;PLN;2.3; PLN;3.2;PLN;3.94;PLN;39,13%;1G;A
2533;01067;Gra w kamienie /272755/;0;0;PLN;8.5; PLN;11.73;PLN;14.43;PLN;38,00%;0;A
2534;00586;GRA UŁÓŻ WYRAZY JUNIOR   (FAN)                  804075;4;37.8;PLN;9.45; PLN;14.58;PLN;17.93;PLN;54,29%;0;A
2535;00589;GRA UŁÓŻ SZYFR KOLORY I FIGURY   (FAN)          804402;1;9.9;PLN;9.9; PLN;13.37;PLN;16.45;PLN;35,05%;0;A
2536;01331;Gra świat biznesu /800198/;8;96;PLN;12; PLN;16.68;PLN;20.52;PLN;39,00%;0;A
2537;01015;Gra Sylaby  /005888/;1;10.22;PLN;10.22; PLN;22.38;PLN;27.53;PLN;118,98%;0;A
2538;00927;Gra statki /TAJT881/392299/;0;0;PLN;8.15; PLN;11.33;PLN;13.94;PLN;39,02%;2;A
2539;05342;Gra skaczące żabki j.polski 810356;18;113.76;PLN;6.32; PLN;8.85;PLN;10.89;PLN;40,03%;8B;A
2540;03569;GRA SKACZĄCE KAPELUSIKI /NAKŁON/ 800112;6;43.2;PLN;7.2; PLN;10.01;PLN;12.31;PLN;39,03%;0;A
2541;05595;Gra Rzutki 35cm 830017;4;33.36;PLN;8.34; PLN;11.84;PLN;14.56;PLN;41,97%;0;A
2542;05220;Gra rybki /69758/;0;0;PLN;3.44; PLN;4.78;PLN;5.88;PLN;38,95%;0;A
2543;02426;Gra rybki 979852;60;194.4;PLN;3.24; PLN;4.6;PLN;5.66;PLN;41,98%;9D;D
2544;04500;Gra rybki 872009;9;20.97;PLN;2.33; PLN;3.37;PLN;4.15;PLN;44,64%;8A;A
2545;04510;Gra rybki 803864;0;0;PLN;3.12; PLN;4.46;PLN;5.49;PLN;42,95%;0;A
2546;04162;Gra rybki 695833;15;42.3;PLN;2.82; PLN;4.06;PLN;4.99;PLN;43,97%;5C;D
2547;05635;Gra Rybki 583335;12;41.88;PLN;3.49; PLN;4.96;PLN;6.1;PLN;42,12%;7A;A
2548;03875;Gra Rybki 401515;21;49.35;PLN;2.35; PLN;3.37;PLN;4.15;PLN;43,40%;1A;D
2549;04281;GRA RYBKI  111695;0;0;PLN;2; PLN;3.11;PLN;3.83;PLN;55,50%;0;A
2550;04278;GRA RYBKI;0;0;PLN;6.17; PLN;8.34;PLN;10.26;PLN;35,17%;0;A
2551;01990;Gra rodzinna małpki 204157;0;0;PLN;7.98; PLN;11.33;PLN;13.94;PLN;41,98%;0;D
2552;05313;Gra rodzinna leśne przygody /TAN3015/393982/;0;0;PLN;8.51; PLN;11.83;PLN;14.55;PLN;39,01%;0;A
2553;01016;Gra przeciwieństwa - gra /004652/;5;51.1;PLN;10.22; PLN;22.38;PLN;27.53;PLN;118,98%;0;A
2554;05008;Gra prosta 0107923;203;546.07;PLN;2.69; PLN;3.84;PLN;4.72;PLN;42,75%;1F;A
2555;01080;Gra Planszowa Bartek;0;0;PLN;6.7; PLN;9.25;PLN;11.38;PLN;38,06%;0;A
2556;15297;Gra piłkarze 000011;8;88;PLN;11; PLN;14.3;PLN;17.59;PLN;30,00%;4;A
2557;04055;Gra piłka nożna /125821/;0;0;PLN;4.72; PLN;6.61;PLN;8.13;PLN;40,04%;0;A
2558;00571;GRA PAN DOKTOR  3GRY   /(FAN)                   802576;0;0;PLN;5.95; PLN;8.47;PLN;10.42;PLN;42,35%;0;A
2559;01131;Gra pamięć sówka mondra główka /018226/;0;0;PLN;12.57; PLN;17.35;PLN;21.34;PLN;38,03%;0;A
2560;00116;Gra Memos ilustrowane 016116;1;10.19;PLN;10.19; PLN;13.81;PLN;16.99;PLN;35,53%;0;A
2561;03388;Gra Memos Frozen 016024;0;0;PLN;10.19; PLN;13.81;PLN;16.99;PLN;35,53%;0;A
2562;01134;Gra Memory /251393/;0;0;PLN;4.46; PLN;6.15;PLN;7.56;PLN;37,89%;0;A
2563;05544;Gra memory 140480;24;194.16;PLN;8.09; PLN;11.34;PLN;13.95;PLN;40,17%;8A;A
2564;05162;Gra magnetyczna złap motyla 301014;0;0;PLN;4.99; PLN;6.74;PLN;8.29;PLN;35,07%;0;A
2565;00148;Gra Magnetyczna Rybka, 3 kol 311808;46;107.18;PLN;2.33; PLN;3.37;PLN;4.15;PLN;44,64%;2D;D
2566;02642;Gra magnetyczna 2w1 /301465/ZRJT849/;38;137.94;PLN;3.63; PLN;5.15;PLN;6.33;PLN;41,87%;1G;A
2567;04123;Gra kurczak bierki 960360;14;130.06;PLN;9.29; PLN;13.24;PLN;16.29;PLN;42,52%;8A;D
2568;01017;Gra kto silniejszy  /005796/;3;30.66;PLN;10.22; PLN;22.38;PLN;27.53;PLN;118,98%;0;A
2569;00893;Gra koszyki siatka /display 12szt/404412;3;6.81;PLN;2.27; PLN;3.24;PLN;3.99;PLN;42,73%;5A;D
2570;15503;Gra Hokej 000028;1;15;PLN;15; PLN;19.5;PLN;23.99;PLN;30,00%;0;A
2571;00590;GRA GWIAZDY NA ZAKUPACH  2GRY    (FAN)          804365;0;0;PLN;7.74; PLN;10.45;PLN;12.85;PLN;35,01%;0;A
2572;03801;GRA GRZYBOBRANIE /NAKŁON/                       800167;11;121;PLN;11; PLN;15.29;PLN;18.81;PLN;39,00%;0;A
2573;02384;Gra elektroniczna 966740;0;0;PLN;3.03; PLN;4.3;PLN;5.29;PLN;41,91%;2D;D
2574;03721;GRA ELEKTRONICZNA;0;0;PLN;2.94; PLN;3.97;PLN;4.88;PLN;35,03%;8;A
2575;00568;GRA EDUK.WESOŁE ZAGADKI  2GRY    (FAN)          804020;2;18.9;PLN;9.45; PLN;12.85;PLN;15.81;PLN;35,98%;0;A
2576;00585;GRA EDUK.MALI EKOLODZY  2GRY   (FAN)            804044;4;37.8;PLN;9.45; PLN;12.76;PLN;15.69;PLN;35,03%;0;A
2577;00582;GRA EDUK.BEZPIECZNA DROGA  2GRY   (FAN)         804037;5;47.25;PLN;9.45; PLN;12.85;PLN;15.81;PLN;35,98%;0;A
2578;00595;Gra Deluxe Chińczyk/Warcaby 804105;5;48.6;PLN;9.72; PLN;13.24;PLN;16.29;PLN;36,21%;0;D
2579;05344;Gra chwiejna wieża j.polski /810370/TG220193/;0;0;PLN;7.5; PLN;10.43;PLN;12.83;PLN;39,07%;0;A
2580;00384;GRA CHIŃCZYK+WARCABY  /NAKŁON/ 800181;2;14.4;PLN;7.2; PLN;10.01;PLN;12.31;PLN;39,03%;0;A
2581;00311;Gra Bingo - 48 Kart, 90 numerów 202849;0;0;PLN;7.66; PLN;10.88;PLN;13.38;PLN;42,04%;1C;A
2582;01014;Gra Bajkowi Ulubieńcy  /005758/;0;0;PLN;8.93; PLN;19.57;PLN;24.07;PLN;119,15%;0;A
2583;01005;Gra Alfabet  /003013/;0;0;PLN;4.18; PLN;9.15;PLN;11.25;PLN;118,90%;0;A
2584;02511;"GRA ""FIKAJĄCE MAŁPKI"" 398833";0;0;PLN;8.99; PLN;12.8;PLN;15.75;PLN;42,38%;0;D
2585;310;GRA-MAŁA SYRENKA /KRUK/                         051467;0;0;PLN;6.08; PLN;8.63;PLN;10.61;PLN;41,94%;0;D
2586;00710;Góra i dól owoce warzywa - słonik balonik 301287;6;60;PLN;10; PLN;13.3;PLN;16.36;PLN;33,00%;0;A
2587;00545;GNIOTEK szt. / x5  paczka/  850028;145;137.75;PLN;0.95; PLN;1.26;PLN;1.55;PLN;32,63%;1D;A
2588;74544;gniotek siatka szt. /12 paczka/;17;28.73;PLN;1.69; PLN;1.86;PLN;2.29;PLN;10,06%;1R;A
2589;71419;Gniotek siatka 7-7 świecące /display 12szt/TK485/7-7;0;0;PLN;1.7; PLN;2.27;PLN;2.79;PLN;33,53%;1D;A
2590;71418;Gniotek siatka 7-3  /12szt displ/;0;0;PLN;1.41; PLN;1.88;PLN;2.31;PLN;33,33%;0;A
2591;10021;Gniotek siatka;0;0;PLN;1.69; PLN;2.45;PLN;3.01;PLN;44,97%;1;A
2592;14533;gniotek siatka;0;0;PLN;1.69; PLN;2.45;PLN;3.01;PLN;44,97%;1;A
2593;04403;GNIOTEK   /24 szt /              873075;0;0;PLN;0.54; PLN;0.73;PLN;0.9;PLN;35,19%;0;A
2594;03100;Głowa Lalki, W.BOX 393074;0;0;PLN;13.19; PLN;19.13;PLN;23.53;PLN;45,03%;0;A
2595;01229;Głowa do stylizacji /G1779/130818/;0;0;PLN;12.65; PLN;17.84;PLN;21.94;PLN;41,03%;0;A
2596;03931;GŁOWA DO CZESANIA /MPD67470/TG364173/     74705,879565;0;0;PLN;11.73; PLN;16.12;PLN;19.83;PLN;37,43%;0;A
2597;01580;GŁOWA DO CZESANIA /128242/;0;0;PLN;14.43; PLN;20.35;PLN;25.03;PLN;41,03%;0;A
2598;05009;Głowa do czesania 143887;0;0;PLN;15.49; PLN;21.94;PLN;26.99;PLN;41,64%;8A;A
2599;05013;Głowa do czesania 143870;0;0;PLN;15.05; PLN;21.37;PLN;26.29;PLN;41,99%;8;A
2600;02926;GŁOWA DO CZESANIA-MUZYKA/ŚW. 009935, 619132;7;113.19;PLN;16.17; PLN;21.33;PLN;26.24;PLN;31,91%;8C;A
2601;01749;Gluty tęczowe masa skacząca /24szt w displayu/ 818055;0;0;PLN;1.05; PLN;1.5;PLN;1.85;PLN;42,86%;0;A
2602;01830;Gluty świecące /12szt w displayu/ 818031;7;13.23;PLN;1.89; PLN;2.68;PLN;3.3;PLN;41,80%;0;A
2603;03229;Gluty owoce /48 szt. w op./ 817966;2311;670.19;PLN;0.29; PLN;0.45;PLN;0.55;PLN;55,17%;1B;D
2604;04402;GLUTY oko /48szt display/807639;3;1.53;PLN;0.51; PLN;0.72;PLN;0.89;PLN;41,18%;2D;A
2605;05203;Gluty insekty 24 szt. 806915;0;0;PLN;0.69; PLN;1.02;PLN;1.25;PLN;47,83%;0;A
2606;04401;GLUTY części ciała  /48szt displ/807615, 870982;469;239.19;PLN;0.51; PLN;0.72;PLN;0.89;PLN;41,18%;2D;A
2607;01560;Gluty 24 szt. opakowanie 810554, 984115;168;99.12;PLN;0.59; PLN;0.89;PLN;1.09;PLN;50,85%;1E;A
2608;05021;Gluty-czesci ciała;0;0;PLN;0.51; PLN;0.69;PLN;0.85;PLN;35,29%;4;A
2609;123213;Gluty;0;0;PLN;6.38; PLN;10.2;PLN;12.55;PLN;59,87%;0;D
2610;14543;glut;0;0;PLN;5.95; PLN;7.55;PLN;9.29;PLN;26,89%;0;A
2611;14542;glut;0;0;PLN;5.1; PLN;6.53;PLN;8.03;PLN;28,04%;0;A
2612;14541;glut;0;0;PLN;6.38; PLN;7.98;PLN;9.81;PLN;25,08%;0;A
2613;05502;Gitara, 3 kol 308617;0;0;PLN;14.66; PLN;20.32;PLN;24.99;PLN;38,61%;0;A
2614;05550;Gitara ze św. i muzyką 960926;0;0;PLN;13.43; PLN;19.02;PLN;23.39;PLN;41,62%;0;A
2615;00650;Gitara z muzyką i światłem 824230;0;0;PLN;4.19; PLN;5.98;PLN;7.35;PLN;42,72%;0;D
2616;02045;Gitara w pudełku 878988 ;3;42.45;PLN;14.15; PLN;20.07;PLN;24.69;PLN;41,84%;0;A
2617;03163;Gitara w etui 874713;70;721.7;PLN;10.31; PLN;15.14;PLN;18.62;PLN;46,85%;9K;A
2618;05019;Gitara w etui 808384;12;99.36;PLN;8.28; PLN;11.86;PLN;14.59;PLN;43,24%;8A;A
2619;01793;Gitara na baterie 817294;8;82.48;PLN;10.31; PLN;14.63;PLN;17.99;PLN;41,90%;5B;D
2620;04450;Gitara mała 962841;0;0;PLN;3.99; PLN;6.63;PLN;8.15;PLN;66,17%;0;A
2621;1480;GITARA ELEKTR.50CM. W KARTONIE                  206038;0;0;PLN;8.54; PLN;12.17;PLN;14.97;PLN;42,51%;0;D
2622;04033;GITARA 992731;0;0;PLN;3.27; PLN;4.48;PLN;5.51;PLN;37,00%;9;A
2623;22074;Gitara 3 kolory;0;0;PLN;2.5; PLN;3.9;PLN;4.8;PLN;56,00%;9K;A
2624;03456;Gitara /123919/;0;0;PLN;3.49; PLN;4.82;PLN;5.93;PLN;38,11%;2C;A
2625;02436;Gitara 998440;0;0;PLN;5.39; PLN;7.8;PLN;9.59;PLN;44,71%;0;D
2626;05005;Gitara 800838, 276590;32;316.8;PLN;9.9; PLN;14.06;PLN;17.29;PLN;42,02%;5B;A
2627;05567;Gitara 719024;0;0;PLN;9.28; PLN;13.24;PLN;16.29;PLN;42,67%;0;A
2628;05291;Gitara  /118823/;0;0;PLN;6.91; PLN;9.6;PLN;11.81;PLN;38,93%;0;A
2629;00775;GITARA-DREWNO  /001310/                         607757;0;0;PLN;11.59; PLN;14.57;PLN;17.92;PLN;25,71%;0;A
2630;04275;GITARA;0;0;PLN;4.19; PLN;5.66;PLN;6.96;PLN;35,08%;0;A
2631;04444;Gierka wodna 301489;0;0;PLN;1.05; PLN;1.54;PLN;1.89;PLN;46,67%;0;A
2632;00752;Gierka do Grania 300681;0;0;PLN;3.88; PLN;5.51;PLN;6.78;PLN;42,01%;0;A
2633;04096;GARAŻ /131600/;0;0;PLN;15.47; PLN;21.81;PLN;26.83;PLN;40,98%;0;A
2634;00226;Gadżet rozrywkowy /display 24szt/ 403972;0;0;PLN;0.88; PLN;1.25;PLN;1.54;PLN;42,05%;0;D
2635;01681;Flet plastikowy 954002;0;0;PLN;1.09; PLN;1.61;PLN;1.98;PLN;47,71%;0;A
2636;01842;FLET DREWNIANY /U341/                           113293;0;0;PLN;6.98; PLN;9.93;PLN;12.22;PLN;42,26%;0;A
2637;05613;Flaming Pluszowy 817997;113;811.34;PLN;7.18; PLN;10.24;PLN;12.59;PLN;42,62%;1G;A
2638;02999;"FIGURKA""EARTH TUTELARY"" NO.2011-13              909265, 448641";38;180.12;PLN;4.74; PLN;7.06;PLN;8.68;PLN;48,95%;9B;A
2639;04397;FIGURKA ROBOT                                   212671;0;0;PLN;4.95; PLN;6.72;PLN;8.26;PLN;35,76%;8;A
2640;02661;"Figurka ""Earth Tutelary"" /6 szt. w op./300803";0;0;PLN;3.18; PLN;4.63;PLN;5.69;PLN;45,60%;0;D
2641;22657;FIGURKA ;0;0;PLN;4.26; PLN;21.79;PLN;26.8;PLN;411,50%;0;A
2642;04369;Fast food z hamburgerem pudełko 03729;12;84.24;PLN;7.02; PLN;9.97;PLN;12.26;PLN;42,02%;2A;D
2643;00667;Fast food kanapka na tacy plexi 403743;7;75.18;PLN;10.74; PLN;15.25;PLN;18.76;PLN;41,99%;2D;D
2644;01538;Farma 141845;0;0;PLN;32.53; PLN;46.19;PLN;56.81;PLN;41,99%;0;D
2645;01035;Farba do malowania 6 kol. /TABV002/392862/;13;128.83;PLN;9.91; PLN;13.77;PLN;16.94;PLN;38,95%;2B;A
2646;JC07;fajerwerki 6/1;2;41.94;PLN;20.97; PLN;26.21;PLN;32.24;PLN;24,99%;;A
2647;P0002;Fajerwerki;1;20.67;PLN;20.67; PLN;25.84;PLN;31.78;PLN;25,01%;2;A
2648;04428;ESPER Akumulator AA 200mAh kolor;0;0;PLN;16; PLN;19.86;PLN;24.43;PLN;24,13%;0;D
2649;00972;Elektroniczne zwierzątko 966306;0;0;PLN;2.57; PLN;3.7;PLN;4.55;PLN;43,97%;0;A
2650;05555;Ekspres do kawy 815733;9;143.01;PLN;15.89; PLN;22.27;PLN;27.39;PLN;40,15%;1E;A
2651;03588;EDU Chińczyk Warcaby 803177;19;147.06;PLN;7.74; PLN;10.45;PLN;12.85;PLN;35,01%;0;A
2652;03521;EDU Biznes City 802712;8;82.8;PLN;10.35; PLN;13.97;PLN;17.18;PLN;34,98%;0;A
2653;00540;Edu Alfabet (Fan) /804006/;4;37.8;PLN;9.45; PLN;12.76;PLN;15.69;PLN;35,03%;0;A
2654;05364;EDU 2+2  /804013/;5;47.25;PLN;9.45; PLN;12.85;PLN;15.81;PLN;35,98%;0;A
2655;01266;Dźwig sterowany 121151;0;0;PLN;13.18; PLN;18.45;PLN;22.69;PLN;39,98%;0;D
2656;01768;Dźwig sterowany 117840;0;0;PLN;32.96; PLN;46.09;PLN;56.69;PLN;39,84%;0;D
2657;34214;DźWIG                                           300057;0;0;PLN;14; PLN;16.12;PLN;19.83;PLN;15,14%;1;A
2658;00038;DZWONKI CHROM.27 TON                            000049;0;0;PLN;21.66; PLN;25.98;PLN;31.96;PLN;19,94%;0;A
2659;05057;Dzwig 247797;0;0;PLN;17.4; PLN;24.36;PLN;29.96;PLN;40,00%;0;A
2660;02033;Dwie Butelki - Mleko, sok 311921;12;25.68;PLN;2.14; PLN;3.08;PLN;3.79;PLN;43,93%;2C;D
2661;04132;Dwa pistolety 132508;89;326.63;PLN;3.67; PLN;5.21;PLN;6.41;PLN;41,96%;5C;D
2662;05277;Dwa pingwiny/126262/;0;0;PLN;9.62; PLN;12.99;PLN;15.98;PLN;35,03%;0;A
2663;03192;Dwa koniki 129539;0;0;PLN;3.18; PLN;4.52;PLN;5.56;PLN;42,14%;7;A
2664;00723;Domino zegar300389;6;38.4;PLN;6.4; PLN;8.51;PLN;10.47;PLN;32,97%;0;A
2665;02282;Domino układanie słów /814415/;8;94.08;PLN;11.76; PLN;17.05;PLN;20.97;PLN;44,98%;8C;A
2666;00722;Domino symetryczne 300372;5;32;PLN;6.4; PLN;8.51;PLN;10.47;PLN;32,97%;0;A
2667;01728;Domino Samochody w starym stylu 301645;1;0.01;PLN;0.01; PLN;8.51;PLN;10.47;PLN;85000,00%;0;D
2668;00388;Domino samochody 301652;1;0.01;PLN;0.01; PLN;8.51;PLN;10.47;PLN;85000,00%;0;D
2669;00726;Domino rymy 300365;5;32;PLN;6.4; PLN;8.51;PLN;10.47;PLN;32,97%;0;A
2670;00727;Domino matematyczne dodawanie i odejmowanie 300341;7;44.8;PLN;6.4; PLN;8.51;PLN;10.47;PLN;32,97%;0;A
2671;02738;"DOMEK Z LALKĄ 11,5"" /3089404/                   884048";0;0;PLN;28.73; PLN;40.62;PLN;49.96;PLN;41,39%;0;A
2672;04113;Domek z gongiem 105366;0;0;PLN;46.55; PLN;64.92;PLN;79.85;PLN;39,46%;0;A
2673;71293;Domek ogrodnika (w siatce) 013354;7;53.2;PLN;7.6; PLN;10.03;PLN;12.34;PLN;31,97%;8C;A
2674;03108;Domek na baterie /117741/;0;0;PLN;40.16; PLN;56.29;PLN;69.24;PLN;40,16%;5;A
2675;03803;DOMEK EDUKACYJNY B/O. /G348/                    093373;0;0;PLN;9.71; PLN;10.26;PLN;12.62;PLN;5,66%;0;A
2676;71289;Domek dydaktyczny (w siatce) 006196;12;170.52;PLN;14.21; PLN;18.76;PLN;23.07;PLN;32,02%;8C;A
2677;71388;Domek dla zwierząt (w siatce) 009166;7;84.56;PLN;12.08; PLN;15.94;PLN;19.61;PLN;31,95%;4;D
2678;02785;DOMEK DLA LALEK 305700;0;0;PLN;7.45; PLN;10.21;PLN;12.56;PLN;37,05%;0;A
2679;03983;"Domek dla lalek ""My family house"" + akc. 306125";3;136.11;PLN;45.37; PLN;62.59;PLN;76.99;PLN;37,95%;0;D
2680;03753;Domek dla lalek 306101;1;55.94;PLN;55.94; PLN;77.23;PLN;94.99;PLN;38,06%;0;D
2681;01539;DOMEK 3D  /MPC26506/                            265064;0;0;PLN;20.85; PLN;29.96;PLN;36.85;PLN;43,69%;0;A
2682;02795;DOMEK-PAŁAC+AKC. NO.CB888-9 ŚW.DZW. /Q2226      120727;0;0;PLN;44.76; PLN;61.54;PLN;75.69;PLN;37,49%;0;A
2683;05400;Doktor z akcesoriami, efekty świetlne 390653;11;98.67;PLN;8.97; PLN;13.33;PLN;16.39;PLN;48,61%;8B;A
2684;03813;Dmuchanka Łódka Dziecieca 399717;28;195.44;PLN;6.98; PLN;9.96;PLN;12.25;PLN;42,69%;8C;D
2685;02208;Dmuchane kółko do pływania - buźki 205499;10;54.2;PLN;5.42; PLN;7.7;PLN;9.47;PLN;42,07%;2C;D
2686;04044;DINOZAURY MIĘKKIE 960223;0;0;PLN;5.55; PLN;7.49;PLN;9.21;PLN;34,95%;0;A
2687;01873;Dinozaury 8szt worek 403064;5;34.35;PLN;6.87; PLN;9.76;PLN;12;PLN;42,07%;2A;D
2688;00313;DINOZAUR/                                       142818;0;0;PLN;6.33; PLN;7.98;PLN;9.81;PLN;26,07%;8;A
2689;74457;DINOZAUR Z ROGAMI;0;0;PLN;10.95; PLN;14.25;PLN;17.53;PLN;30,14%;1C;A
2690;05097;Dinozaur z jajkami św/dźw.216266;0;0;PLN;8.9; PLN;15.44;PLN;18.99;PLN;73,48%;0;A
2691;01025;DINOZAUR NA BIEGUNACH (DZWIĘK) /Z0733/          929895;1;73.28;PLN;73.28; PLN;81.24;PLN;99.92;PLN;10,86%;0;A
2692;15226;Dinozaur na baterie Protocerat;0;0;PLN;12.74; PLN;16.3;PLN;20.05;PLN;27,94%;0;A
2693;04017;Dinozaur na baterie 806120;0;0;PLN;11.22; PLN;15.48;PLN;19.04;PLN;37,97%;4;A
2694;72871;Dinozaur na baterie 1012 895048;15;187.05;PLN;12.47; PLN;16.22;PLN;19.95;PLN;30,07%;1F;D
2695;05305;Dinozaur na baterie /515294/;0;0;PLN;8.58; PLN;11.93;PLN;14.67;PLN;39,04%;0;A
2696;15225;Dinozaur duży Tyrannosaurus;0;0;PLN;13.49; PLN;16.8;PLN;20.66;PLN;24,54%;1;D
2697;14456;DINOZAUR DUżY;0;0;PLN;13.16; PLN;16.88;PLN;20.76;PLN;28,27%;1;A
2698;YT1303;Diabły 6/50;0;0;PLN;29.24; PLN;37.73;PLN;46.41;PLN;29,04%;;A
2699;YT1304;Diabełki 6/50;0;0;PLN;26.9; PLN;33.62;PLN;41.35;PLN;24,98%;0;A
2700;YT1301;Diabełki 6/50;0;0;PLN;26.9; PLN;33.62;PLN;41.35;PLN;24,98%;2;A
2701;PXG105;Diabełki 6/50;0;0;PLN;20.98; PLN;26.02;PLN;32;PLN;24,02%;;A
2702;CS12850;Diabełki 6/50;5;100.8;PLN;20.16; PLN;25.2;PLN;31;PLN;25,00%;2D;A
2703;03518;Deskorolka, 6 wz. 312379;5;170.7;PLN;34.14; PLN;47.8;PLN;58.79;PLN;40,01%;0;D
2704;01357;Deskorolka plastik 807875;0;0;PLN;13.8; PLN;19.32;PLN;23.76;PLN;40,00%;0;A
2705;01737;"Deskorolka 42x13 cm; koła 48x28 mm 6302608";3;29.67;PLN;9.89; PLN;14.06;PLN;17.29;PLN;42,16%;0;D
2706;05586;Deska do prasowania 961820;3;49.41;PLN;16.47; PLN;23.39;PLN;28.77;PLN;42,02%;0;A
2707;00649;Dentysta 136308;0;0;PLN;11.48; PLN;16.22;PLN;19.95;PLN;41,29%;9;A
2708;00574;Deluxe szachy (Fan) 804099;0;0;PLN;15.03; PLN;20.29;PLN;24.96;PLN;35,00%;0;A
2709;05174;Czołg z napędem 981121;94;157.92;PLN;1.68; PLN;2.27;PLN;2.79;PLN;35,12%;8A;A
2710;05241;Czołg z napędem /G089706/;0;0;PLN;1.68; PLN;2.32;PLN;2.85;PLN;38,10%;9;A
2711;01122;CZOŁG Z DZWIEKIEM  /KLX700-3A/   PUD.           004449;0;0;PLN;9.5; PLN;13.51;PLN;16.62;PLN;42,21%;0;A
2712;01799;CZOŁG NA RADIO  /MPB75435/                      754353;0;0;PLN;16.47; PLN;19.05;PLN;23.43;PLN;15,66%;0;A
2713;3549;CZOŁG 30CM. FRICTION /TG370294/  WOREK          801033;0;0;PLN;5.64; PLN;8.06;PLN;9.91;PLN;42,91%;0;D
2714;02371;Czołg 813746;24;203.04;PLN;8.46; PLN;12.18;PLN;14.98;PLN;43,97%;9C;D
2715;04477;CZOłG                                          4231422;0;0;PLN;7.38; PLN;9.97;PLN;12.26;PLN;35,09%;0;A
2716;01072;Czerwony Kapturek Kot w butach  /324382/;0;0;PLN;9.44; PLN;13.03;PLN;16.03;PLN;38,03%;0;A
2717;00841;Czepek silikonowy 47g 317077;28;91.28;PLN;3.26; PLN;4.63;PLN;5.69;PLN;42,02%;1G;D
2718;03099;Czepek materiałowy 994343;36;50.76;PLN;1.41; PLN;2;PLN;2.46;PLN;41,84%;1G;D
2719;72215;Czapka uszy;12;149.16;PLN;12.43; PLN;16.78;PLN;20.64;PLN;35,00%;1G;D
2720;00478;Czajnik z naczyniami 094301;2;19.88;PLN;9.94; PLN;14.11;PLN;17.36;PLN;41,95%;0;D
